grouping,alphabet,serial,subSerial,gridPosition,displayId,partOfSpeech,color,folderDisplayId,folderName,text,imageId,image,imageName
50,A,30,2,,A-30-2,verb,#20d35e,18.4,M-P,puts,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getaaa.svg
50,A,30,4,,A-30-4,verb,#20d35e,18.4,M-P,putting,https://drive.google.com/file/d/10xW_6MiaMm2pHEYG2rXEM8fOsiOTNl4-/view?usp=sharing,#N/A,ingxxxxxx.svg
50,A,763,1,,A-763-1,Noun,#ffae37,5.4,Pets,rabbit,U+1F407,🐇,
50,A,763,2,,A-763-2,Noun,#ffae37,5.4,Pets,rabbits,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssspqw.svg
50,A,1059,1,,A-1059-1,Noun,#ffae37,15.3,Hurt,rash,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/rash.svg,#N/A,getsssssdow.svg
50,A,1059,2,,A-1059-2,Noun,#ffae37,15.3,Hurt,rashes,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,rash.svg
50,A,39,1,43,A-39-1,verb,#20d35e,18.5,Q-S,read,https://drive.google.com/file/d/1B1SJnvd0mASJTT-S6p-3dB92B2ZN4Juq/view?usp=sharing,#N/A,getssdoz.svg
50,A,39,3,,A-39-3,verb,#20d35e,18.5,Q-S,read,https://drive.google.com/file/d/1kkqWcqZwc0ifOaSsm_y-NpVOP-05OqTM/view?usp=sharing,#N/A,read.svg
50,A,39,4,,A-39-4,verb,#20d35e,18.5,Q-S,reading,https://drive.google.com/file/d/10xW_6MiaMm2pHEYG2rXEM8fOsiOTNl4-/view?usp=sharing,#N/A,eddddd.svg
50,A,39,2,,A-39-2,verb,#20d35e,18.5,Q-S,reads,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,ingbbbb.svg
50,A,259,1,,A-259-1,adjective,#1983e5,3.4,Colors,red,https://drive.google.com/file/d/1XOBm8-L2j-T-baaIpwL2Oz092i9l3LRr/view?usp=sharing,#N/A,recyclebin.svg
50,A,445,1,,A-445-1,Noun,#ffae37,8.3,Community,restaurant,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Restaurant-f9849c7afb.svg,#N/A,resttime.jpg
50,A,445,2,,A-445-2,Noun,#ffae37,8.3,Community,restaurants,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,Restaurant.svg
50,A,385,1,,A-385-1,Noun,#ffae37,1.5,Grain,rice,U+1F358,🍘,getaaazw.svg
50,A,722,1,,A-722-1,Noun,#ffae37,7.5,Characters,robot,U+1F916,🤖,
50,A,722,5,,A-722-5,Noun,#ffae37,7.5,Characters,robot's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,smmm.svg
50,A,722,2,,A-722-2,Noun,#ffae37,7.5,Characters,robots,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssssqw.svg
50,A,1077,1,,A-1077-1,Noun,#ffae37,8.4,Nature,rock,U+1FAA8,🪨,
50,A,1077,2,,A-1077-2,Noun,#ffae37,8.4,Nature,rocks,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getaaapz.svg
50,A,1077,3,,A-1077-3,adjective,#1983e5,8.4,Nature,rocky,https://drive.google.com/file/d/1zn5qtGi_kjndez3l89DA8kdWV102Ujvx/view?usp=sharing,#N/A,rocky.svg
50,A,446,1,,A-446-1,Noun,#ffae37,8.5,Common,room,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f6cb.svg,#N/A,1f6cb.svg
50,A,446,2,,A-446-2,Noun,#ffae37,8.5,Common,rooms,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,1f6csb.svg
50,A,51,1,24,A-51-1,adjective,#1983e5,3.2,Feelings,sad,U+1F625,😥,
50,A,51,2,,A-51-2,adjective,#1983e5,3.2,Feelings,sadder,https://drive.google.com/file/d/1XhUS_6sco42OfhGvpLEgdxQ_IYHdtCJ8/view?usp=sharing,#N/A,rebb.svg
50,A,51,3,,A-51-3,adjective,#1983e5,3.2,Feelings,saddest,https://drive.google.com/file/d/181T7itprJOkZT8OpZI3822b4rh7GWyKh/view?usp=sharing,#N/A,estbb.svg
50,A,51,4,,A-51-4,adverb,#8c612d,3.2,Feelings,sadly ,https://drive.google.com/file/d/1z4s8JaGMb0twgbyt0B712GV2ZkCDmBGu/view?usp=sharing,#N/A,ylaa.svg
50,A,46,1,18,A-46-1,adjective,#1983e5,3.1,General,same,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/same.svg,#N/A,same.svg
